Data_as_of,Region,Office_Name,Demographic,Out_of_State,Month_in_Care,TOTAL_CIP,FOSTER_CARE,RELATIVE_CARE,SPECIAL_STUDY,THERAPEUTIC_FOSTER_CARE,PDC_SAFE_HOME,SHELTER,GROUP_HOME,RESIDENTIAL,DCF_HIGHMEADOWS,DCF_SOLNIT,DCF_CJTS,HOSPITAL,INDEPENDENT_LIVING
06/26/2014,Other,NULL,F,N,07/01/2004,1,1,0,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Other,Aftercare,F,N,07/01/2004,5,0,0,0,0,0,0,0,5,0,0,0,0,0
06/26/2014,Other,Aftercare,M,Y,07/01/2004,8,0,0,0,0,0,0,0,8,0,0,0,0,0
06/26/2014,Other,Aftercare,M,N,07/01/2004,23,0,0,0,0,0,0,1,8,0,0,14,0,0
06/26/2014,Other,Gen'l Administration,F,N,07/01/2004,4,1,0,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,M,N,07/01/2004,9,0,0,0,0,0,0,0,4,0,0,5,0,0
06/26/2014,Other,Gen'l Administration,M,Y,07/01/2004,9,0,0,0,0,0,0,0,9,0,0,0,0,0
06/26/2014,Other,Treatment Services,M,N,07/01/2004,1,0,0,0,0,0,0,0,0,0,0,1,0,0
06/26/2014,Other,Unassigned_Office,F,N,07/01/2004,37,3,0,0,0,0,0,3,31,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,F,Y,07/01/2004,4,0,0,0,0,0,0,2,2,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,M,N,07/01/2004,103,3,2,0,0,1,0,0,91,0,1,5,0,0
06/26/2014,Other,Unassigned_Office,M,Y,07/01/2004,17,0,0,0,0,0,0,0,17,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,F,N,07/01/2004,259,120,55,7,27,5,5,11,14,1,5,0,3,6
06/26/2014,Region 1,Bridgeport Office,F,Y,07/01/2004,31,5,6,0,2,0,0,1,17,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,M,N,07/01/2004,258,100,55,6,23,7,4,20,31,3,4,1,0,4
06/26/2014,Region 1,Bridgeport Office,M,Y,07/01/2004,37,5,3,0,6,0,0,0,23,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,F,N,07/01/2004,35,11,11,1,1,3,0,3,4,0,0,0,0,1
06/26/2014,Region 1,Norwalk Office,F,Y,07/01/2004,5,1,0,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,M,N,07/01/2004,31,9,12,3,2,0,1,1,2,0,1,0,0,0
06/26/2014,Region 1,Norwalk Office,M,Y,07/01/2004,8,3,1,0,0,0,0,0,3,0,0,0,1,0
06/26/2014,Region 1,Stamford Office,F,N,07/01/2004,24,10,3,0,2,2,1,0,6,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,F,Y,07/01/2004,8,4,0,0,1,0,0,0,3,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,M,N,07/01/2004,24,7,2,2,1,1,1,6,3,1,0,0,0,0
06/26/2014,Region 1,Stamford Office,M,Y,07/01/2004,9,1,0,0,2,0,0,0,6,0,0,0,0,0
06/26/2014,Region 2,Milford Office,F,N,07/01/2004,142,60,36,1,21,5,1,2,11,0,2,0,0,3
06/26/2014,Region 2,Milford Office,F,Y,07/01/2004,19,4,1,0,1,0,0,0,13,0,0,0,0,0
06/26/2014,Region 2,Milford Office,M,N,07/01/2004,137,38,27,3,32,3,3,11,18,0,2,0,0,0
06/26/2014,Region 2,Milford Office,M,Y,07/01/2004,34,2,0,0,3,0,0,0,29,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,F,N,07/01/2004,272,110,51,6,47,14,2,8,19,4,4,0,0,7
06/26/2014,Region 2,New Haven Office,F,Y,07/01/2004,37,10,8,1,3,0,0,0,15,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,M,N,07/01/2004,311,92,48,10,67,16,5,13,42,6,2,4,0,6
06/26/2014,Region 2,New Haven Office,M,Y,07/01/2004,47,4,5,0,3,0,0,1,34,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,F,N,07/01/2004,67,28,11,6,6,1,0,5,8,0,0,0,1,1
06/26/2014,Region 3,Middletown Office,F,Y,07/01/2004,8,0,1,0,0,0,0,1,6,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,M,N,07/01/2004,79,21,15,3,11,5,0,4,11,2,3,0,0,4
06/26/2014,Region 3,Middletown Office,M,Y,07/01/2004,19,0,2,0,2,0,0,1,14,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,F,N,07/01/2004,270,144,55,8,13,10,5,8,20,0,2,0,3,2
06/26/2014,Region 3,Norwich Office,F,Y,07/01/2004,16,3,1,0,2,0,0,0,10,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,M,N,07/01/2004,277,136,53,6,21,10,9,15,19,0,0,0,1,7
06/26/2014,Region 3,Norwich Office,M,Y,07/01/2004,32,5,6,0,0,0,0,0,21,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,F,N,07/01/2004,154,88,23,18,6,7,1,2,5,0,0,0,2,2
06/26/2014,Region 3,Willimantic Office,F,Y,07/01/2004,12,2,2,0,1,0,0,0,7,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,M,N,07/01/2004,210,123,35,10,9,3,4,5,16,0,3,1,0,1
06/26/2014,Region 3,Willimantic Office,M,Y,07/01/2004,41,5,4,0,7,0,0,1,24,0,0,0,0,0
06/26/2014,Region 4,Hartford Office,F,N,07/01/2004,437,192,113,16,28,15,3,14,24,0,12,0,4,16
06/26/2014,Region 4,Hartford Office,F,Y,07/01/2004,48,11,11,0,4,0,0,1,20,0,0,0,1,0
06/26/2014,Region 4,Hartford Office,M,N,07/01/2004,449,181,106,17,55,13,10,28,22,2,6,0,2,7
06/26/2014,Region 4,Hartford Office,M,Y,07/01/2004,97,18,9,1,12,0,0,0,57,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,F,N,07/01/2004,263,110,72,16,5,8,4,12,27,3,1,0,0,5
06/26/2014,Region 4,Manchester Office,F,Y,07/01/2004,32,5,6,1,0,0,0,1,19,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,M,N,07/01/2004,235,91,57,10,13,15,1,13,27,2,2,2,0,2
06/26/2014,Region 4,Manchester Office,M,Y,07/01/2004,54,2,2,0,9,0,0,0,41,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,F,N,07/01/2004,63,18,13,3,3,6,1,5,12,0,0,0,1,1
06/26/2014,Region 5,Danbury Office,F,Y,07/01/2004,15,3,2,0,3,0,0,0,7,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,M,N,07/01/2004,67,21,18,3,4,1,1,6,10,1,2,0,0,0
06/26/2014,Region 5,Danbury Office,M,Y,07/01/2004,17,1,5,0,5,0,0,1,5,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,F,N,07/01/2004,61,34,10,2,4,2,1,2,5,0,1,0,0,0
06/26/2014,Region 5,Torrington Office,F,Y,07/01/2004,12,3,0,0,2,0,0,0,7,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,M,N,07/01/2004,81,34,16,3,3,2,0,4,15,1,2,0,1,0
06/26/2014,Region 5,Torrington Office,M,Y,07/01/2004,25,3,1,0,6,0,0,0,15,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,F,N,07/01/2004,257,120,63,14,20,5,2,3,14,1,3,0,0,12
06/26/2014,Region 5,Waterbury Office,F,Y,07/01/2004,37,7,8,0,8,0,0,0,14,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,M,N,07/01/2004,289,140,50,10,25,13,2,8,29,4,1,1,0,6
06/26/2014,Region 5,Waterbury Office,M,Y,07/01/2004,62,4,11,0,13,0,0,0,33,0,0,0,1,0
06/26/2014,Region 6,Meriden Office,F,N,07/01/2004,89,33,26,0,15,2,1,4,4,0,1,0,0,3
06/26/2014,Region 6,Meriden Office,F,Y,07/01/2004,12,3,2,0,0,0,0,0,7,0,0,0,0,0
06/26/2014,Region 6,Meriden Office,M,N,07/01/2004,101,32,21,3,15,1,2,4,16,1,2,0,0,4
06/26/2014,Region 6,Meriden Office,M,Y,07/01/2004,21,3,5,0,4,0,0,0,9,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,F,N,07/01/2004,276,103,66,13,33,6,5,12,21,2,4,0,1,10
06/26/2014,Region 6,New Britain Office,F,Y,07/01/2004,28,6,4,0,4,0,0,0,14,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,M,N,07/01/2004,283,88,80,10,22,15,8,18,28,1,5,0,1,7
06/26/2014,Region 6,New Britain Office,M,Y,07/01/2004,50,4,5,0,3,0,0,1,37,0,0,0,0,0
06/26/2014,Other,Aftercare,M,N,07/01/2005,4,0,1,0,0,0,0,0,0,0,0,3,0,0
06/26/2014,Other,Aftercare,M,Y,07/01/2005,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,F,N,07/01/2005,2,1,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,M,N,07/01/2005,3,0,0,0,0,0,0,1,1,0,0,1,0,0
06/26/2014,Other,Hotline,F,N,07/01/2005,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,F,N,07/01/2005,34,2,3,0,0,0,0,3,26,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,M,N,07/01/2005,143,3,2,0,0,1,0,3,86,0,1,47,0,0
06/26/2014,Other,Unassigned_Office,M,Y,07/01/2005,14,0,0,0,0,0,0,0,14,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,F,N,07/01/2005,271,105,61,4,35,7,4,14,28,4,1,0,1,7
06/26/2014,Region 1,Bridgeport Office,F,Y,07/01/2005,18,3,5,0,0,0,0,2,7,0,0,0,1,0
06/26/2014,Region 1,Bridgeport Office,M,N,07/01/2005,267,104,51,8,35,1,5,20,29,1,4,5,2,2
06/26/2014,Region 1,Bridgeport Office,M,Y,07/01/2005,23,0,4,0,1,0,0,0,18,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,F,N,07/01/2005,39,11,14,0,3,0,0,2,6,0,0,0,1,2
06/26/2014,Region 1,Norwalk Office,F,Y,07/01/2005,6,3,1,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,M,N,07/01/2005,49,9,13,8,9,2,2,1,4,0,0,1,0,0
06/26/2014,Region 1,Norwalk Office,M,Y,07/01/2005,7,3,1,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,F,N,07/01/2005,31,8,8,2,3,1,1,1,4,0,2,0,0,1
06/26/2014,Region 1,Stamford Office,F,Y,07/01/2005,2,1,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,M,N,07/01/2005,45,13,5,1,4,5,4,7,4,0,0,1,0,1
06/26/2014,Region 1,Stamford Office,M,Y,07/01/2005,4,0,0,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 2,Milford Office,F,N,07/01/2005,154,50,37,1,31,4,5,2,19,0,3,0,0,2
06/26/2014,Region 2,Milford Office,F,Y,07/01/2005,12,2,0,0,0,0,0,0,10,0,0,0,0,0
06/26/2014,Region 2,Milford Office,M,N,07/01/2005,198,42,37,8,41,7,2,14,43,2,0,2,0,0
06/26/2014,Region 2,Milford Office,M,Y,07/01/2005,26,1,1,0,1,0,0,0,23,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,F,N,07/01/2005,260,71,48,10,68,6,2,6,28,2,5,0,2,12
06/26/2014,Region 2,New Haven Office,F,Y,07/01/2005,19,3,5,1,2,0,0,0,8,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,M,N,07/01/2005,272,62,34,6,84,13,1,11,37,6,4,7,1,6
06/26/2014,Region 2,New Haven Office,M,Y,07/01/2005,27,3,4,0,0,0,0,1,19,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,F,N,07/01/2005,67,19,17,2,7,2,0,6,9,0,1,0,0,4
06/26/2014,Region 3,Middletown Office,F,Y,07/01/2005,2,0,0,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,M,N,07/01/2005,89,14,22,5,15,3,1,7,15,1,1,2,0,3
06/26/2014,Region 3,Middletown Office,M,Y,07/01/2005,10,0,0,0,0,0,0,1,9,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,F,N,07/01/2005,238,115,45,12,24,5,4,9,16,0,3,0,2,3
06/26/2014,Region 3,Norwich Office,F,Y,07/01/2005,15,7,3,0,0,0,0,1,4,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,M,N,07/01/2005,257,112,42,9,27,10,8,14,21,0,3,2,4,5
06/26/2014,Region 3,Norwich Office,M,Y,07/01/2005,31,6,7,0,0,0,0,0,18,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,F,N,07/01/2005,140,79,19,16,8,5,3,2,7,0,1,0,0,0
06/26/2014,Region 3,Willimantic Office,F,Y,07/01/2005,10,3,4,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,M,N,07/01/2005,178,88,24,7,21,10,3,4,18,0,2,1,0,0
06/26/2014,Region 3,Willimantic Office,M,Y,07/01/2005,29,6,5,0,0,0,0,2,16,0,0,0,0,0
06/26/2014,Region 4,Hartford Office,F,N,07/01/2005,448,166,95,24,56,16,10,21,34,1,11,0,1,13
06/26/2014,Region 4,Hartford Office,F,Y,07/01/2005,32,7,7,0,0,0,0,0,18,0,0,0,0,0
06/26/2014,Region 4,Hartford Office,M,N,07/01/2005,460,153,100,15,82,11,6,30,39,4,5,4,1,10
06/26/2014,Region 4,Hartford Office,M,Y,07/01/2005,58,11,8,0,1,0,0,0,38,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,F,N,07/01/2005,302,123,90,17,11,6,5,23,18,2,3,0,1,3
06/26/2014,Region 4,Manchester Office,F,Y,07/01/2005,20,3,5,0,1,0,0,2,9,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,M,N,07/01/2005,271,88,72,9,24,10,4,15,29,5,6,0,4,5
06/26/2014,Region 4,Manchester Office,M,Y,07/01/2005,37,4,5,1,0,0,0,0,27,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,F,N,07/01/2005,72,21,17,5,5,5,1,7,7,0,0,0,1,3
06/26/2014,Region 5,Danbury Office,F,Y,07/01/2005,7,2,1,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,M,N,07/01/2005,66,22,16,3,7,0,0,5,9,1,1,0,1,1
06/26/2014,Region 5,Danbury Office,M,Y,07/01/2005,6,1,1,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,F,N,07/01/2005,73,33,10,4,9,2,1,6,8,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,F,Y,07/01/2005,7,3,1,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,M,N,07/01/2005,80,25,18,3,13,1,2,6,11,0,1,0,0,0
06/26/2014,Region 5,Torrington Office,M,Y,07/01/2005,15,3,0,0,0,0,0,0,12,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,F,N,07/01/2005,266,108,65,13,32,6,6,4,14,2,9,0,0,7
06/26/2014,Region 5,Waterbury Office,F,Y,07/01/2005,13,2,3,0,1,0,0,0,7,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,M,N,07/01/2005,293,99,60,13,57,12,3,9,23,3,6,3,0,5
06/26/2014,Region 5,Waterbury Office,M,Y,07/01/2005,25,2,6,0,1,0,0,1,15,0,0,0,0,0
06/26/2014,Region 6,Meriden Office,F,N,07/01/2005,112,37,27,6,16,4,4,6,7,0,0,0,0,5
06/26/2014,Region 6,Meriden Office,F,Y,07/01/2005,6,1,1,0,0,0,0,0,3,0,0,0,1,0
06/26/2014,Region 6,Meriden Office,M,N,07/01/2005,114,31,29,2,17,7,2,2,12,3,2,1,0,6
06/26/2014,Region 6,Meriden Office,M,Y,07/01/2005,13,2,3,0,5,0,0,0,3,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,F,N,07/01/2005,269,89,58,11,43,7,3,19,25,1,1,0,2,10
06/26/2014,Region 6,New Britain Office,F,Y,07/01/2005,18,2,7,1,1,0,0,1,6,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,M,N,07/01/2005,281,71,76,8,40,6,10,25,30,0,5,0,2,8
06/26/2014,Region 6,New Britain Office,M,Y,07/01/2005,34,6,7,0,0,0,0,0,21,0,0,0,0,0
06/26/2014,Other,Aftercare,M,N,07/01/2006,2,0,1,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,F,N,07/01/2006,2,0,0,0,0,0,0,0,0,0,0,0,1,1
06/26/2014,Other,Gen'l Administration,M,N,07/01/2006,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,M,Y,07/01/2006,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Hotline,F,N,07/01/2006,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,F,N,07/01/2006,32,1,1,0,0,0,0,2,27,0,1,0,0,0
06/26/2014,Other,Unassigned_Office,F,Y,07/01/2006,2,1,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,M,N,07/01/2006,123,0,1,0,0,1,0,6,58,0,1,56,0,0
06/26/2014,Other,Unassigned_Office,M,Y,07/01/2006,19,0,0,0,0,0,0,0,19,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,F,N,07/01/2006,223,76,43,12,36,2,2,13,22,3,2,0,1,11
06/26/2014,Region 1,Bridgeport Office,F,Y,07/01/2006,12,2,6,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,M,N,07/01/2006,234,74,58,10,30,5,4,22,18,1,3,5,1,3
06/26/2014,Region 1,Bridgeport Office,M,Y,07/01/2006,27,0,3,0,1,0,0,1,22,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,F,N,07/01/2006,55,16,16,2,4,2,1,2,8,0,2,0,0,2
06/26/2014,Region 1,Norwalk Office,F,Y,07/01/2006,5,3,1,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,M,N,07/01/2006,50,11,14,5,8,1,1,1,6,0,0,2,0,1
06/26/2014,Region 1,Norwalk Office,M,Y,07/01/2006,8,1,2,0,0,0,0,0,5,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,F,N,07/01/2006,34,9,10,3,3,0,0,0,6,0,1,0,0,2
06/26/2014,Region 1,Stamford Office,F,Y,07/01/2006,2,1,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,M,N,07/01/2006,44,12,12,1,3,1,0,3,7,0,1,2,0,2
06/26/2014,Region 1,Stamford Office,M,Y,07/01/2006,3,0,1,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 2,Milford Office,F,N,07/01/2006,165,41,47,5,35,3,4,5,21,0,2,0,0,2
06/26/2014,Region 2,Milford Office,F,Y,07/01/2006,12,3,1,0,0,0,0,0,8,0,0,0,0,0
06/26/2014,Region 2,Milford Office,M,N,07/01/2006,177,32,32,11,48,4,4,14,27,3,0,1,0,1
06/26/2014,Region 2,Milford Office,M,Y,07/01/2006,21,2,1,0,0,0,0,0,18,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,F,N,07/01/2006,273,74,68,6,62,10,5,5,29,1,4,0,0,9
06/26/2014,Region 2,New Haven Office,F,Y,07/01/2006,15,4,3,1,0,0,0,0,7,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,M,N,07/01/2006,281,66,44,7,76,19,3,13,27,2,5,12,1,6
06/26/2014,Region 2,New Haven Office,M,Y,07/01/2006,31,7,4,0,0,0,0,1,19,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,F,N,07/01/2006,75,29,16,3,4,3,0,10,8,0,1,0,0,1
06/26/2014,Region 3,Middletown Office,F,Y,07/01/2006,5,1,2,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,M,N,07/01/2006,91,26,19,3,16,2,0,4,16,1,1,1,0,2
06/26/2014,Region 3,Middletown Office,M,Y,07/01/2006,5,1,0,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,F,N,07/01/2006,245,115,48,14,27,3,4,14,11,0,3,0,0,6
06/26/2014,Region 3,Norwich Office,F,Y,07/01/2006,18,7,4,0,2,0,0,0,5,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,M,N,07/01/2006,254,114,41,13,30,6,4,13,21,1,1,2,1,7
06/26/2014,Region 3,Norwich Office,M,Y,07/01/2006,32,5,3,0,5,0,0,1,17,0,0,0,0,1
06/26/2014,Region 3,Willimantic Office,F,N,07/01/2006,163,76,20,26,16,8,1,3,10,2,1,0,0,0
06/26/2014,Region 3,Willimantic Office,F,Y,07/01/2006,11,4,3,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,M,N,07/01/2006,182,83,28,11,22,7,4,8,16,1,2,0,0,0
06/26/2014,Region 3,Willimantic Office,M,Y,07/01/2006,22,5,2,0,0,0,0,0,15,0,0,0,0,0
06/26/2014,Region 4,Hartford Office,F,N,07/01/2006,437,147,102,32,54,15,11,24,25,0,9,0,3,15
06/26/2014,Region 4,Hartford Office,F,Y,07/01/2006,16,6,4,1,0,0,0,1,3,0,0,0,1,0
06/26/2014,Region 4,Hartford Office,M,N,07/01/2006,440,150,87,15,70,14,5,30,38,2,12,6,3,8
06/26/2014,Region 4,Hartford Office,M,Y,07/01/2006,55,10,6,1,0,0,0,1,36,0,0,0,1,0
06/26/2014,Region 4,Manchester Office,F,N,07/01/2006,280,103,84,17,15,10,7,18,11,1,4,0,5,5
06/26/2014,Region 4,Manchester Office,F,Y,07/01/2006,10,0,0,0,0,0,0,2,8,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,M,N,07/01/2006,285,96,64,20,30,11,4,17,23,5,3,1,2,9
06/26/2014,Region 4,Manchester Office,M,Y,07/01/2006,30,3,6,0,1,0,0,0,20,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,F,N,07/01/2006,72,23,19,5,4,1,1,7,9,1,0,0,1,1
06/26/2014,Region 5,Danbury Office,F,Y,07/01/2006,4,2,1,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,M,N,07/01/2006,80,28,12,5,8,6,1,6,8,3,1,1,0,1
06/26/2014,Region 5,Danbury Office,M,Y,07/01/2006,7,1,1,0,0,0,0,0,5,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,F,N,07/01/2006,82,40,11,3,7,3,2,2,14,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,F,Y,07/01/2006,7,2,1,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,M,N,07/01/2006,102,46,13,4,8,4,1,10,13,0,0,0,2,1
06/26/2014,Region 5,Torrington Office,M,Y,07/01/2006,12,1,0,0,1,0,0,0,10,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,F,N,07/01/2006,300,128,68,13,32,5,4,19,14,1,6,0,2,8
06/26/2014,Region 5,Waterbury Office,F,Y,07/01/2006,16,4,7,0,0,0,0,0,5,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,M,N,07/01/2006,320,117,64,17,58,8,3,9,25,6,4,6,1,2
06/26/2014,Region 5,Waterbury Office,M,Y,07/01/2006,20,2,6,0,1,0,0,0,11,0,0,0,0,0
06/26/2014,Region 6,Meriden Office,F,N,07/01/2006,100,33,26,8,10,2,4,4,7,0,1,0,1,4
06/26/2014,Region 6,Meriden Office,F,Y,07/01/2006,4,0,1,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 6,Meriden Office,M,N,07/01/2006,125,39,26,3,19,11,2,2,15,1,2,3,0,2
06/26/2014,Region 6,Meriden Office,M,Y,07/01/2006,15,3,4,0,1,0,0,2,5,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,F,N,07/01/2006,291,81,64,14,60,9,1,25,20,0,2,0,1,14
06/26/2014,Region 6,New Britain Office,F,Y,07/01/2006,11,1,7,0,1,0,0,0,2,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,M,N,07/01/2006,313,78,75,12,55,6,5,25,33,1,4,5,2,12
06/26/2014,Region 6,New Britain Office,M,Y,07/01/2006,28,8,8,0,1,0,0,1,10,0,0,0,0,0
06/26/2014,Other,Aftercare,M,N,07/01/2007,2,0,1,0,0,0,0,0,0,0,0,1,0,0
06/26/2014,Other,Gen'l Administration,F,N,07/01/2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0
06/26/2014,Other,Gen'l Administration,M,N,07/01/2007,1,1,0,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Other,Spec Invest. Unit,F,N,07/01/2007,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,F,N,07/01/2007,25,1,2,0,0,0,0,0,20,0,1,1,0,0
06/26/2014,Other,Unassigned_Office,F,Y,07/01/2007,2,0,0,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,M,N,07/01/2007,111,0,3,0,0,1,0,8,41,0,2,56,0,0
