Data_as_of,Region,Office_Name,Demographic,Out_of_State,Month_in_Care,TOTAL_CIP,FOSTER_CARE,RELATIVE_CARE,SPECIAL_STUDY,THERAPEUTIC_FOSTER_CARE,PDC_SAFE_HOME,SHELTER,GROUP_HOME,RESIDENTIAL,DCF_HIGHMEADOWS,DCF_SOLNIT,DCF_CJTS,HOSPITAL,INDEPENDENT_LIVING
06/26/2014,Other,Unassigned_Office,M,Y,07/01/2007,19,0,0,0,0,0,0,0,18,0,0,0,1,0
06/26/2014,Region 1,Bridgeport Office,F,N,07/01/2007,202,75,36,10,34,3,2,15,14,1,4,0,0,8
06/26/2014,Region 1,Bridgeport Office,F,Y,07/01/2007,11,2,4,0,0,0,0,0,5,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,M,N,07/01/2007,224,86,32,7,25,2,1,30,21,2,1,11,3,3
06/26/2014,Region 1,Bridgeport Office,M,Y,07/01/2007,16,2,2,0,0,0,0,0,12,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,F,N,07/01/2007,47,14,13,2,6,0,1,4,5,0,0,0,0,2
06/26/2014,Region 1,Norwalk Office,F,Y,07/01/2007,5,1,2,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,M,N,07/01/2007,41,17,3,3,5,1,1,1,5,1,0,1,2,1
06/26/2014,Region 1,Norwalk Office,M,Y,07/01/2007,10,0,3,0,4,0,0,0,3,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,F,N,07/01/2007,29,10,11,0,1,1,2,2,1,0,0,0,0,1
06/26/2014,Region 1,Stamford Office,F,Y,07/01/2007,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,M,N,07/01/2007,34,9,7,1,3,2,1,5,5,0,0,0,0,1
06/26/2014,Region 1,Stamford Office,M,Y,07/01/2007,3,1,1,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 2,Milford Office,F,N,07/01/2007,168,35,47,7,38,1,2,11,16,0,2,0,4,5
06/26/2014,Region 2,Milford Office,F,Y,07/01/2007,11,2,4,1,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 2,Milford Office,M,N,07/01/2007,179,33,24,10,46,4,8,18,27,4,3,2,0,0
06/26/2014,Region 2,Milford Office,M,Y,07/01/2007,20,2,3,0,0,0,0,0,15,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,F,N,07/01/2007,274,65,64,8,76,16,2,10,17,3,2,0,0,11
06/26/2014,Region 2,New Haven Office,F,Y,07/01/2007,9,6,1,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,M,N,07/01/2007,298,56,35,4,93,13,6,24,43,6,1,7,4,6
06/26/2014,Region 2,New Haven Office,M,Y,07/01/2007,31,6,2,0,0,0,0,0,22,0,0,0,1,0
06/26/2014,Region 3,Middletown Office,F,N,07/01/2007,70,23,14,4,11,1,0,8,7,0,0,0,0,2
06/26/2014,Region 3,Middletown Office,F,Y,07/01/2007,4,1,2,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,M,N,07/01/2007,77,16,17,2,16,4,1,9,8,0,2,1,0,1
06/26/2014,Region 3,Middletown Office,M,Y,07/01/2007,10,1,1,0,0,0,0,0,8,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,F,N,07/01/2007,197,100,24,10,22,5,4,12,13,1,2,0,1,3
06/26/2014,Region 3,Norwich Office,F,Y,07/01/2007,19,6,5,0,0,0,0,0,8,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,M,N,07/01/2007,222,102,34,7,30,8,3,13,17,1,0,1,0,6
06/26/2014,Region 3,Norwich Office,M,Y,07/01/2007,31,10,1,0,0,0,0,0,19,0,0,0,1,0
06/26/2014,Region 3,Willimantic Office,F,N,07/01/2007,156,67,21,20,22,3,2,7,11,0,1,0,1,1
06/26/2014,Region 3,Willimantic Office,F,Y,07/01/2007,5,3,0,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,M,N,07/01/2007,155,67,17,9,23,6,3,12,15,0,2,0,0,1
06/26/2014,Region 3,Willimantic Office,M,Y,07/01/2007,27,5,1,2,1,0,0,0,18,0,0,0,0,0
06/26/2014,Region 4,Hartford Office,F,N,07/01/2007,401,119,91,26,61,14,6,25,25,1,6,0,4,23
06/26/2014,Region 4,Hartford Office,F,Y,07/01/2007,19,5,5,0,3,0,0,0,6,0,0,0,0,0
06/26/2014,Region 4,Hartford Office,M,N,07/01/2007,439,131,93,20,73,14,5,32,39,1,9,8,4,10
06/26/2014,Region 4,Hartford Office,M,Y,07/01/2007,52,7,9,0,0,0,0,2,34,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,F,N,07/01/2007,264,119,56,18,16,4,4,13,24,0,5,0,0,5
06/26/2014,Region 4,Manchester Office,F,Y,07/01/2007,8,0,0,0,0,0,0,0,8,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,M,N,07/01/2007,260,82,54,16,30,12,7,23,26,2,2,2,0,4
06/26/2014,Region 4,Manchester Office,M,Y,07/01/2007,30,3,5,0,0,0,0,0,22,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,F,N,07/01/2007,69,27,13,2,7,2,1,8,7,1,0,0,1,0
06/26/2014,Region 5,Danbury Office,F,Y,07/01/2007,3,2,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,M,N,07/01/2007,59,19,8,4,9,3,0,7,6,2,0,1,0,0
06/26/2014,Region 5,Danbury Office,M,Y,07/01/2007,10,1,0,0,2,0,0,0,7,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,F,N,07/01/2007,92,41,16,5,7,4,3,4,12,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,F,Y,07/01/2007,13,4,2,0,0,0,0,0,6,0,0,0,1,0
06/26/2014,Region 5,Torrington Office,M,N,07/01/2007,111,45,16,7,19,4,1,9,5,0,1,3,0,1
06/26/2014,Region 5,Torrington Office,M,Y,07/01/2007,14,2,2,0,1,0,0,0,9,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,F,N,07/01/2007,313,143,67,9,34,5,1,17,21,0,7,0,0,9
06/26/2014,Region 5,Waterbury Office,F,Y,07/01/2007,16,4,7,0,2,0,0,0,3,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,M,N,07/01/2007,335,135,70,20,52,9,7,9,17,5,8,1,1,1
06/26/2014,Region 5,Waterbury Office,M,Y,07/01/2007,25,2,7,1,0,0,0,0,15,0,0,0,0,0
06/26/2014,Region 6,Meriden Office,F,N,07/01/2007,109,31,26,5,16,1,3,6,14,1,3,0,0,3
06/26/2014,Region 6,Meriden Office,F,Y,07/01/2007,2,0,1,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 6,Meriden Office,M,N,07/01/2007,118,31,16,4,28,13,3,3,13,0,2,3,0,2
06/26/2014,Region 6,Meriden Office,M,Y,07/01/2007,10,0,3,1,0,0,0,0,6,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,F,N,07/01/2007,291,71,66,16,51,8,10,25,19,0,6,0,3,16
06/26/2014,Region 6,New Britain Office,F,Y,07/01/2007,12,2,6,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,M,N,07/01/2007,295,74,80,17,53,8,4,24,24,2,5,2,0,2
06/26/2014,Region 6,New Britain Office,M,Y,07/01/2007,27,8,6,0,1,0,0,0,12,0,0,0,0,0
06/26/2014,Other,Aftercare,M,N,07/01/2008,5,0,1,0,0,0,0,1,3,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,M,N,07/01/2008,2,0,0,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Other,Spec Invest. Unit,F,N,07/01/2008,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,F,N,07/01/2008,17,0,1,0,0,0,0,2,12,0,1,1,0,0
06/26/2014,Other,Unassigned_Office,F,Y,07/01/2008,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,M,N,07/01/2008,90,0,1,1,0,0,0,5,38,0,0,44,0,1
06/26/2014,Other,Unassigned_Office,M,Y,07/01/2008,20,0,0,0,0,0,0,1,19,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,F,N,07/01/2008,168,70,23,8,22,2,3,15,12,0,1,0,1,11
06/26/2014,Region 1,Bridgeport Office,F,Y,07/01/2008,21,4,7,0,1,0,0,0,9,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,M,N,07/01/2008,200,75,23,9,21,6,5,29,19,2,2,4,2,3
06/26/2014,Region 1,Bridgeport Office,M,Y,07/01/2008,13,1,2,0,0,0,0,0,10,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,F,N,07/01/2008,47,16,7,0,6,5,1,6,3,0,1,0,0,2
06/26/2014,Region 1,Norwalk Office,F,Y,07/01/2008,5,1,2,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,M,N,07/01/2008,50,20,4,5,8,4,0,3,3,1,0,0,2,0
06/26/2014,Region 1,Norwalk Office,M,Y,07/01/2008,5,0,2,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,F,N,07/01/2008,23,6,8,0,3,0,0,2,2,0,0,0,1,1
06/26/2014,Region 1,Stamford Office,F,Y,07/01/2008,3,0,2,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,M,N,07/01/2008,23,3,4,1,3,1,0,8,2,0,0,1,0,0
06/26/2014,Region 1,Stamford Office,M,Y,07/01/2008,5,1,1,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 2,Milford Office,F,N,07/01/2008,141,30,28,14,26,2,2,15,13,0,4,0,2,5
06/26/2014,Region 2,Milford Office,F,Y,07/01/2008,13,1,2,1,0,0,0,0,9,0,0,0,0,0
06/26/2014,Region 2,Milford Office,M,N,07/01/2008,142,24,21,8,42,2,3,21,13,6,0,0,0,2
06/26/2014,Region 2,Milford Office,M,Y,07/01/2008,25,3,2,0,0,0,0,0,20,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,F,N,07/01/2008,256,69,41,5,68,15,4,14,22,0,4,0,0,14
06/26/2014,Region 2,New Haven Office,F,Y,07/01/2008,20,5,3,0,1,0,0,0,11,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,M,N,07/01/2008,278,60,43,3,80,20,4,24,27,2,3,5,2,5
06/26/2014,Region 2,New Haven Office,M,Y,07/01/2008,35,4,4,0,2,0,0,0,25,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,F,N,07/01/2008,62,26,15,5,5,0,0,5,3,0,1,0,0,2
06/26/2014,Region 3,Middletown Office,F,Y,07/01/2008,5,1,1,0,0,0,0,1,2,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,M,N,07/01/2008,76,17,10,4,17,2,3,9,8,0,1,1,0,4
06/26/2014,Region 3,Middletown Office,M,Y,07/01/2008,10,1,0,0,0,0,0,1,8,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,F,N,07/01/2008,179,85,26,9,14,4,5,13,13,0,1,0,3,6
06/26/2014,Region 3,Norwich Office,F,Y,07/01/2008,19,3,4,0,1,0,0,0,11,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,M,N,07/01/2008,219,86,39,11,24,15,3,14,14,0,4,1,1,7
06/26/2014,Region 3,Norwich Office,M,Y,07/01/2008,24,5,4,0,1,0,0,1,13,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,F,N,07/01/2008,130,50,19,21,12,4,2,8,7,0,1,0,1,5
06/26/2014,Region 3,Willimantic Office,F,Y,07/01/2008,6,0,1,0,0,0,0,0,4,0,0,0,1,0
06/26/2014,Region 3,Willimantic Office,M,N,07/01/2008,161,76,21,12,18,6,3,16,4,2,1,0,0,2
06/26/2014,Region 3,Willimantic Office,M,Y,07/01/2008,25,6,2,2,1,0,0,0,14,0,0,0,0,0
06/26/2014,Region 4,Hartford Office,F,N,07/01/2008,359,108,99,30,40,10,9,15,29,0,4,0,1,14
06/26/2014,Region 4,Hartford Office,F,Y,07/01/2008,24,4,2,0,2,0,0,1,15,0,0,0,0,0
06/26/2014,Region 4,Hartford Office,M,N,07/01/2008,424,140,80,22,67,14,3,37,36,4,7,5,5,4
06/26/2014,Region 4,Hartford Office,M,Y,07/01/2008,52,6,5,0,0,0,0,0,39,0,0,0,1,1
06/26/2014,Region 4,Manchester Office,F,N,07/01/2008,255,102,63,19,18,6,5,14,16,0,4,0,1,7
06/26/2014,Region 4,Manchester Office,F,Y,07/01/2008,16,3,6,0,0,0,0,0,7,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,M,N,07/01/2008,259,89,60,12,31,12,6,26,12,1,3,1,0,6
06/26/2014,Region 4,Manchester Office,M,Y,07/01/2008,30,1,5,0,0,0,0,0,24,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,F,N,07/01/2008,60,14,13,4,8,5,0,6,9,0,0,0,0,1
06/26/2014,Region 5,Danbury Office,F,Y,07/01/2008,7,2,2,0,0,0,0,0,2,0,0,0,1,0
06/26/2014,Region 5,Danbury Office,M,N,07/01/2008,67,23,8,5,10,4,1,8,2,0,2,3,0,1
06/26/2014,Region 5,Danbury Office,M,Y,07/01/2008,8,1,0,0,0,0,0,0,7,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,F,N,07/01/2008,102,43,23,6,9,3,2,4,9,0,1,0,1,1
06/26/2014,Region 5,Torrington Office,F,Y,07/01/2008,11,5,1,0,0,0,0,0,5,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,M,N,07/01/2008,99,41,12,4,11,2,0,12,12,0,3,0,1,1
06/26/2014,Region 5,Torrington Office,M,Y,07/01/2008,13,1,1,0,0,0,0,0,11,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,F,N,07/01/2008,291,138,54,14,34,4,2,19,15,0,6,0,1,4
06/26/2014,Region 5,Waterbury Office,F,Y,07/01/2008,13,2,8,0,1,0,0,0,2,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,M,N,07/01/2008,275,104,43,18,55,6,3,13,18,5,3,4,2,1
06/26/2014,Region 5,Waterbury Office,M,Y,07/01/2008,36,5,8,1,0,0,0,0,20,0,0,0,2,0
06/26/2014,Region 6,Meriden Office,F,N,07/01/2008,97,24,18,5,19,5,3,8,8,0,2,0,0,5
06/26/2014,Region 6,Meriden Office,F,Y,07/01/2008,6,1,1,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 6,Meriden Office,M,N,07/01/2008,115,27,14,4,41,5,4,8,9,2,0,0,0,1
06/26/2014,Region 6,Meriden Office,M,Y,07/01/2008,14,2,2,1,0,0,0,1,8,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,F,N,07/01/2008,302,61,76,19,57,12,7,24,18,0,3,0,3,22
06/26/2014,Region 6,New Britain Office,F,Y,07/01/2008,12,0,4,0,0,0,0,0,8,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,M,N,07/01/2008,286,75,79,22,45,7,4,26,12,3,1,4,1,7
06/26/2014,Region 6,New Britain Office,M,Y,07/01/2008,21,2,5,0,3,0,0,0,11,0,0,0,0,0
06/26/2014,Other,Aftercare,F,N,07/01/2009,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Aftercare,M,Y,07/01/2009,9,0,0,0,0,0,0,0,9,0,0,0,0,0
06/26/2014,Other,Aftercare,M,N,07/01/2009,17,1,0,0,0,0,0,2,4,0,0,10,0,0
06/26/2014,Other,Gen'l Administration,M,N,07/01/2009,3,0,0,0,0,0,0,0,0,0,1,2,0,0
06/26/2014,Other,Gen'l Administration,M,Y,07/01/2009,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Spec Invest. Unit,F,N,07/01/2009,1,0,0,0,0,0,0,1,0,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,F,N,07/01/2009,19,2,0,0,0,0,0,2,14,0,0,1,0,0
06/26/2014,Other,Unassigned_Office,F,Y,07/01/2009,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,M,N,07/01/2009,79,0,0,0,0,0,0,10,17,2,1,48,1,0
06/26/2014,Other,Unassigned_Office,M,Y,07/01/2009,23,0,0,0,0,0,0,0,23,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,F,N,07/01/2009,158,67,21,9,13,7,6,15,10,0,3,0,1,6
06/26/2014,Region 1,Bridgeport Office,F,Y,07/01/2009,22,4,4,0,3,0,0,0,11,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,M,N,07/01/2009,178,64,16,9,26,9,8,21,5,4,3,5,3,5
06/26/2014,Region 1,Bridgeport Office,M,Y,07/01/2009,13,2,5,0,0,0,0,0,6,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,F,N,07/01/2009,54,14,7,3,18,1,0,3,4,0,0,0,0,4
06/26/2014,Region 1,Norwalk Office,F,Y,07/01/2009,6,1,2,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,M,N,07/01/2009,75,27,8,4,16,2,2,5,3,3,2,1,2,0
06/26/2014,Region 1,Norwalk Office,M,Y,07/01/2009,4,0,1,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,F,N,07/01/2009,22,9,2,0,5,1,0,3,0,0,0,0,1,1
06/26/2014,Region 1,Stamford Office,F,Y,07/01/2009,4,0,3,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,M,N,07/01/2009,27,6,4,2,5,0,2,5,1,0,0,1,0,1
06/26/2014,Region 1,Stamford Office,M,Y,07/01/2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Region 2,Milford Office,F,N,07/01/2009,128,40,22,10,22,3,3,11,9,0,3,0,1,4
06/26/2014,Region 2,Milford Office,F,Y,07/01/2009,6,0,1,0,0,0,0,0,5,0,0,0,0,0
06/26/2014,Region 2,Milford Office,M,N,07/01/2009,134,26,11,10,36,5,6,24,5,4,1,0,3,3
06/26/2014,Region 2,Milford Office,M,Y,07/01/2009,20,0,4,0,0,0,0,1,15,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,F,N,07/01/2009,244,72,33,8,75,4,2,16,8,0,5,0,2,19
06/26/2014,Region 2,New Haven Office,F,Y,07/01/2009,19,8,1,0,0,0,0,0,10,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,M,N,07/01/2009,255,62,41,6,74,2,3,28,14,2,4,8,3,8
06/26/2014,Region 2,New Haven Office,M,Y,07/01/2009,27,5,4,0,0,0,0,1,17,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,F,N,07/01/2009,46,19,5,3,5,1,1,6,3,0,2,0,0,1
06/26/2014,Region 3,Middletown Office,F,Y,07/01/2009,5,2,2,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,M,N,07/01/2009,71,11,10,8,17,2,4,8,5,0,2,1,2,1
06/26/2014,Region 3,Middletown Office,M,Y,07/01/2009,14,2,0,0,1,0,0,0,11,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,F,N,07/01/2009,218,90,47,14,24,2,4,16,12,0,2,0,1,6
06/26/2014,Region 3,Norwich Office,F,Y,07/01/2009,12,0,3,0,1,0,0,0,8,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,M,N,07/01/2009,236,104,30,18,31,9,5,13,15,1,1,5,2,2
06/26/2014,Region 3,Norwich Office,M,Y,07/01/2009,26,4,3,0,0,0,0,1,18,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,F,N,07/01/2009,107,49,10,12,10,3,1,8,1,0,4,0,3,6
06/26/2014,Region 3,Willimantic Office,F,Y,07/01/2009,8,0,2,0,0,0,0,0,6,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,M,N,07/01/2009,159,67,20,9,16,9,3,16,10,2,3,0,2,2
06/26/2014,Region 3,Willimantic Office,M,Y,07/01/2009,27,8,1,1,1,0,0,0,16,0,0,0,0,0
06/26/2014,Region 4,Hartford Office,F,N,07/01/2009,334,97,76,20,40,16,6,27,23,0,7,0,0,22
06/26/2014,Region 4,Hartford Office,F,Y,07/01/2009,24,4,3,0,2,0,0,1,14,0,0,0,0,0
06/26/2014,Region 4,Hartford Office,M,N,07/01/2009,389,121,59,18,69,15,8,37,30,3,8,4,4,13
06/26/2014,Region 4,Hartford Office,M,Y,07/01/2009,49,3,3,0,1,0,0,1,40,0,0,0,0,1
06/26/2014,Region 4,Manchester Office,F,N,07/01/2009,212,77,50,12,20,5,6,18,14,0,4,0,1,5
06/26/2014,Region 4,Manchester Office,F,Y,07/01/2009,15,3,8,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,M,N,07/01/2009,196,73,38,6,16,14,2,24,6,1,4,4,0,8
06/26/2014,Region 4,Manchester Office,M,Y,07/01/2009,24,1,7,0,0,0,0,0,16,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,F,N,07/01/2009,68,18,12,5,8,5,2,9,6,0,2,0,0,1
06/26/2014,Region 5,Danbury Office,F,Y,07/01/2009,4,2,1,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,M,N,07/01/2009,61,23,6,6,10,4,2,8,0,0,0,1,0,1
06/26/2014,Region 5,Danbury Office,M,Y,07/01/2009,10,0,0,0,0,0,0,0,10,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,F,N,07/01/2009,112,55,24,3,10,1,1,7,7,0,2,0,1,1
06/26/2014,Region 5,Torrington Office,F,Y,07/01/2009,7,2,1,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,M,N,07/01/2009,98,30,15,4,10,8,4,12,11,0,2,2,0,0
06/26/2014,Region 5,Torrington Office,M,Y,07/01/2009,10,2,0,0,0,0,0,0,8,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,F,N,07/01/2009,268,128,37,9,32,6,7,22,21,0,3,0,3,0
06/26/2014,Region 5,Waterbury Office,F,Y,07/01/2009,18,6,6,0,0,0,0,0,6,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,M,N,07/01/2009,258,94,44,11,48,8,4,22,11,3,4,4,1,4
06/26/2014,Region 5,Waterbury Office,M,Y,07/01/2009,42,8,5,1,1,0,0,0,26,0,0,0,1,0
06/26/2014,Region 6,Meriden Office,F,N,07/01/2009,88,21,16,3,21,0,2,8,10,0,1,0,0,6
06/26/2014,Region 6,Meriden Office,F,Y,07/01/2009,9,1,1,0,0,0,0,0,7,0,0,0,0,0
06/26/2014,Region 6,Meriden Office,M,N,07/01/2009,118,31,17,2,33,5,0,13,7,5,0,3,1,1
06/26/2014,Region 6,Meriden Office,M,Y,07/01/2009,8,1,1,0,0,0,0,0,6,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,F,N,07/01/2009,246,59,44,17,64,5,1,27,10,0,2,0,1,16
06/26/2014,Region 6,New Britain Office,F,Y,07/01/2009,10,0,3,0,0,0,0,0,7,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,M,N,07/01/2009,238,67,48,15,41,7,5,31,11,1,3,2,1,6
06/26/2014,Region 6,New Britain Office,M,Y,07/01/2009,23,3,5,0,3,0,0,0,12,0,0,0,0,0
06/26/2014,Other,Aftercare,F,N,07/01/2010,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Aftercare,M,Y,07/01/2010,16,0,0,0,0,0,0,0,16,0,0,0,0,0
06/26/2014,Other,Aftercare,M,N,07/01/2010,38,0,0,0,0,0,0,5,11,0,0,22,0,0
06/26/2014,Other,Gen'l Administration,F,N,07/01/2010,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,M,N,07/01/2010,18,0,0,0,0,0,0,2,5,0,0,11,0,0
06/26/2014,Other,Gen'l Administration,M,Y,07/01/2010,4,0,0,0,0,0,0,1,3,0,0,0,0,0
06/26/2014,Other,Spec Invest. Unit,F,N,07/01/2010,1,0,0,0,1,0,0,0,0,0,0,0,0,0
06/26/2014,Other,Treatment Services,F,N,07/01/2010,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,F,N,07/01/2010,13,1,0,0,0,0,0,4,8,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,F,Y,07/01/2010,2,0,1,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,M,N,07/01/2010,54,1,1,0,0,0,0,8,14,0,1,29,0,0
06/26/2014,Other,Unassigned_Office,M,Y,07/01/2010,17,0,0,0,0,0,0,0,17,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,F,N,07/01/2010,140,49,35,7,22,4,1,9,6,0,1,0,1,5
06/26/2014,Region 1,Bridgeport Office,F,Y,07/01/2010,19,1,5,0,0,0,0,0,13,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,M,N,07/01/2010,158,50,21,4,33,1,6,24,7,0,3,5,1,3
06/26/2014,Region 1,Bridgeport Office,M,Y,07/01/2010,11,0,2,0,0,0,0,0,9,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,F,N,07/01/2010,38,12,2,2,11,0,0,4,2,0,1,0,1,3
06/26/2014,Region 1,Norwalk Office,F,Y,07/01/2010,6,1,2,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,M,N,07/01/2010,49,12,5,1,13,0,2,3,6,0,2,2,3,0
06/26/2014,Region 1,Norwalk Office,M,Y,07/01/2010,8,2,1,0,0,0,0,0,5,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,F,N,07/01/2010,23,12,3,0,3,1,1,2,0,0,1,0,0,0
